section,name,town,province,tier,phone,address,specs,description
Bags & small leather goods,Punto Zero,Opera,MI,Verified,02 57604129,Via Fornace Cavallino 22,,"Contract bags, belts and wallets for luxury houses. 2,000 m² in-house plus satellite workshops around Milan, around sixty staff. Skiving, splitting, matelassé, dyeing on site."
Bags & small leather goods,M&C Pelletteria Artigiana,Rozzano,MI,Verified,,Via A. Manzoni 25/29,,"Founded 2008 by the Cammarota brothers. Bags, clutches, belts and wallets made for third parties; works with major fashion and accessory brands."
Bags & small leather goods,Maxima Bags,Milano,MI,Verified,02 56808740,Via Orobia 11,,"Milanese workshop since 1992. Takes a project from pattern through industrial prototype to private-label run; sources leathers, linings and hardware to the client's spec."
Bags & small leather goods,Varese Rettili Pelletteria,Varese,VA,Verified,0332 812419,Via Tagliamento 10,,"Forty years in reptile and fine skins — small leather goods, women's and men's bags, travel pieces, personalised work. The one name on this list built around exotics."
Bags & small leather goods,Sacchini Pelletterie,Merate,LC,Verified,039 9902190,Via Tofane 1,,"In the trade since 1920, Milan then Merate. Document cases, pilot bags, sample and catalogue cases, belts and wallets — to standard models or to the client's drawing."
Bags & small leather goods,Figus Designer,Milano,MI,Verified,,Corso Garibaldi,,Forty-year workshop on Corso Garibaldi; production kept in the historic Milanese atelier.
Bags & small leather goods,Travi Pelletteria,Milano,MI,Verified,,Centro storico,,"Small bottega opposite the Colonne di San Lorenzo. Bags, wallets and leather objects made by hand to commission — a bespoke bench, not a production partner."
Bags & small leather goods,Leather Bags Italy,Parabiago,MI,Verified,,,,B2B handbag manufacturer working to client specification.
Bags & small leather goods,Poggi Pelletteria,Milano,MI,Verified,,,,Leather goods maker; wallets and accessories.
Bags & small leather goods,Borse Solmi,Cambiago,MI,Verified,,,,Bags and accessories for retail and association clients.
Bags & small leather goods,Fragiacomo,Milano,MI,Verified,,,,"Milanese house since 1956, shoes and leather goods, artisanal production."
Bags & small leather goods,Pelletteria Ventura Alberto,Carate Brianza,MB,Register lead,,,,Leather goods workshop.
Bags & small leather goods,Pelletteria Scaccabarozzi,Seregno,MB,Register lead,,,,Leather goods workshop.
Bags & small leather goods,Pelletteria Clio,Seregno,MB,Register lead,,,,Leather goods workshop.
Bags & small leather goods,Orsenigo Pelletteria,Seregno,MB,Register lead,,,,Leather goods workshop.
Bags & small leather goods,Best Wallet & Co.,Seregno,MB,Register lead,,,,Leather goods; the name suggests small leather goods.
Bags & small leather goods,B&V,Seregno,MB,Register lead,,,,Registered under leather goods.
Bags & small leather goods,Pelletteria Rossi,Giussano,MB,Register lead,,,,"Leather goods workshop, family firm."
Bags & small leather goods,Pelletteria G.S. Lyne,Giussano,MB,Register lead,,,,Leather goods workshop.
Bags & small leather goods,Pelletteria Cremon,Besana in Brianza,MB,Register lead,,,,Leather goods workshop.
Bags & small leather goods,Pelletteria Alba,Bovisio Masciago,MB,Register lead,,,,Leather goods workshop.
Bags & small leather goods,Pelletteria Alessia,Bovisio Masciago,MB,Register lead,,,,Leather goods workshop.
Bags & small leather goods,Pelletteria Caimi Romano,Desio,MB,Register lead,,,,"Leather goods workshop, family firm."
Bags & small leather goods,Muvipel,Carate Brianza,MB,Register lead,,,,Registered under leather goods.
Bags & small leather goods,Manetti,Usmate Velate,MB,Register lead,,,,Registered under leather goods.
Bags & small leather goods,Bianchi Lino & C.,Ronco Briantino,MB,Register lead,,,,Registered under leather goods.
Bags & small leather goods,Framarò,Lissone,MB,Register lead,,,,Registered under leather goods.
Bags & small leather goods,Mavipel,Lissone,MB,Register lead,,,,Registered under leather goods.
Bags & small leather goods,Sofia Borse Italia,Limbiate,MB,Register lead,,,,Bags.
Bags & small leather goods,Cataleya,Limbiate,MB,Register lead,,,,Registered under leather goods.
Bags & small leather goods,Giambiasi Pelletteria,Limbiate,MB,Register lead,,,,Leather goods workshop.
Bags & small leather goods,Il Cuoio di Bocca Valter,Cesano Maderno,MB,Register lead,,,,Registered under leather goods; the name points to bridle and vegetable-tanned work.
Bags & small leather goods,Dado Italia,Muggiò,MB,Register lead,,,,Registered under leather goods.
Bags & small leather goods,SF Italia,Vigevano,PV,Register lead,0381 82604,Via Pace 32,,"Leather goods, production and wholesale."
Bags & small leather goods,Destro,Vigevano,PV,Register lead,338 9651163,Via S. Casa 31,,"Leather goods, production and wholesale."
Bags & small leather goods,Ciocala Danilo,Vigevano,PV,Register lead,0381 345305,Via Sicilia 13,,"Leather goods, production and wholesale."
Bags & small leather goods,Nanni,Gropello Cairoli,PV,Register lead,0382 815088,Via Milano 3 · Via Marconi 40,,Leather goods across two addresses in the same town — the larger Lomellina operation on this list.
Bags & small leather goods,Pelletterie Sant'Agostino,Casorate Primo,PV,Register lead,02 90059264,Via S. Agostino 80,,"Leather goods, production and wholesale."
Bags & small leather goods,Tremmeffe,Stradella,PV,Register lead,0385 44310,Via della Repubblica 34,,"Custom bags, special-purpose bags and trolleys made to order."
Bags & small leather goods,Ricci Ilaria,Volpara,PV,Register lead,339 6491240,Fraz. Colombarone 6,,Handmade Italian handbags with private-label capability — a one-bench operation in the Oltrepò hills.
Bags & small leather goods,Desmode di Bettaglio Luca,Voghera,PV,Register lead,0383 47558,Via XX Settembre 70,,"Leather goods, production and wholesale."
Trunks & valigeria,Aldo Martignoni,Paderno Dugnano,MI,Verified,02 99043748,Via Erba 104/A,,"One hundred and twenty years of trunks, duffels and sample cases. Has made for Cartier, Chanel, Bulgari, Yves Saint Laurent, Ferrari and L'Oréal — the strongest contract record in the region. Fine leathers and fabrics over wood."
Trunks & valigeria,Piatti Milano,Milano,MI,Verified,02 36601597,Via E. Cantoni 11,,"Milanese bench since 1953, inside the city. Leather trunks, storage boxes, watch winders and timepiece displays, silver trays. Catalogue pieces and full bespoke."
