section,name,town,province,tier,phone,address,specs,description
Luxury rigid boxes & cofanetti,G. Box,Cornate d'Adda,MB,Verified,039 6022935,Via E. Berlinguer 6,"est. 1991; 2,000 m²; 6–9 staff; ≈ €2M rev.","The benchmark. Boxes, couvettes and precious caskets plus display work, for perfume, cosmetics, fashion, advertising and champagne. Founded 1991 in Monza by Giovanni Ciscato; joint venture with Giovanardi Spa since 2011 to reach international volumes while keeping the artisan bench."
Luxury rigid boxes & cofanetti,Faenza Couture Packaging,Rodano,MI,Verified,0546 637300,,"MOQ 1–1,000; same-day proto; FSC; ISO 9001; ISO 14001; Impact Zero","Rigid bottom-and-lid boxes, cosmetic and luxury boxes. In-house design consultation through to manual assembly, and the only house here that publishes its minimum. Recyclable, biodegradable and compostable stocks."
Luxury rigid boxes & cofanetti,Kartolab,Cusano Milanino,MI,Verified,02 87071235,Via Zucchi 39G,est. 2014; bookbinding; covered board,"Cartotecnica and legatoria under one roof: cofanetti, astucci, sample-carrier boxes, covered boxes, Bodoniana binding. Founded 2014 on fifty years of family trade. Has worked for Acqua di Parma, Cassina, Cappellini and Poliform."
Luxury rigid boxes & cofanetti,L'Ottagono,Biassono,MB,Verified,039 462227,Via Trento e Trieste 116,magnetic close; engraving; bespoke,"Luxury cofanetti with magnetic closures, interior mirrors, engraved logos and bespoke finishes. Cosmetics, fashion, design, food and beverage, hospitality."
Luxury rigid boxes & cofanetti,Montanelli 3,Burago di Molgora,MB,Verified,039 666255,Via G. Galilei 10,hot lamination; material coupling; MT35,"Cases for cosmetics, jewellery and perfumery, plus automotive and medical. Hot lamination and material coupling in house — the address to try when you want a covering nobody else is using."
Luxury rigid boxes & cofanetti,Cartotecnica Sama,Gorgonzola,MI,Verified,342 1586955,Via Roma 39,die-cut to 120; hot stamp; emboss,"Custom and die-cut boxes with luxury finishing. Die-cutting from small formats up to 80/120, hot stamping, embossing and creasing, gluing and assembly. Luxury, cosmetics, perfume, footwear, jewellery, wine."
Luxury rigid boxes & cofanetti,Arti Grafiche Villa,Parabiago,MI,Verified,,Via Jenner 5,est. 1960; gold/holo lam.; UV varnish; screen print,"Since 1960. Custom boxes, gift boxes, cases and displays, with a full finishing bench: lamination in silver, gold and holographic, UV varnish, screen print, hot and blind embossing."
Luxury rigid boxes & cofanetti,Arti Grafiche 3G,Fizzonasco,MI,Verified,,,50+ yrs; screen print; hot foil,"Fifty years of packaging, die-cut boxes and cases. Screen printing, hot foil and special effects for fashion, publishing and cosmetics clients."
Luxury rigid boxes & cofanetti,Picchio Packaging,Fizzonasco,MI,Verified,,Via Marche 4,est. 1959; custom,Founded 1959 making articles for philately and numismatics — small precise containers — and grown into custom packaging of every kind.
Luxury rigid boxes & cofanetti,Pozzoli,Inzago,MI,Verified,,Via G. di Vittorio 11,est. 1968; 160 staff; emboss; hot foil; soft-touch; FSC/PEFC,"Industrial scale, artisan finishing options. Rigid and folding boxes for cosmetics and perfumery, plus vinyl packaging. In-house R&D with patents; 7,600 m² automated warehouse doing kitting and just-in-time."
Luxury rigid boxes & cofanetti,ISEM,Vigevano,PV,Verified,,,"est. 1949; 25,000 m²; 160+ staff; B Corp","The European benchmark for luxury rigid boxes in perfumery, cosmetics and champagne — Coty, L'Oréal, Shiseido, LVMH. Founded in Vigevano in 1949; eleven plants across the group. Volumes far above a small house."
Luxury rigid boxes & cofanetti,Stilema / Stilux,Milano,MI,Verified,02 67100655,Via Montepulciano 13,est. 1983; made in Asia; showroom MI,"Luxury secondary packaging since 1983 — rigid boxes, textile items, advent calendars, eyeglass holders. Manufacturing is in the Far East; Milan is office, commercial department and showroom, with sourcing and QC offices in China. Different proposition from everyone else here."
"Fitted cases — wood, covered board, moulded",Confalonieri,Milano,MI,Verified,02 344609,Via M. Porcio Catone 27,est. 1889; wood carcass; leather cover; velvet interior,"Milanese since 1889 and still a family bench. Handmade wooden cases and boxes for watches, jewellery, eyewear and trophies, covered in leather or fabric with satin or velvet interiors. Also printed paper, ribbons and displays, so a coordinated set is possible from one supplier."
"Fitted cases — wood, covered board, moulded",Ve.Lia Astucci,Rozzano,MI,Verified,02 8256241,Viale Toscana 24/26,est. 1956; 600+ moulds; injection; thermoform; ISO 9001:2015,"Founded 1956, and the deepest technical bench on this list. Over 600 proprietary moulds. Injection moulding, polystyrene thermoforming, tissue and foam die-cutting, custom wood cases with covering, flocked fabric pouches, metal and sample cases. Interiors in shaped foam, velvet or thermoformed insert. Takes contract moulding, fabric cutting and thermoforming work."
"Fitted cases — wood, covered board, moulded",Boxteam Design,Gaggiano,MI,Verified,02 90841132,Via Belgio 19,contract only; cofanetti,"Cofanetti for jewellery, personal cases and special packaging, all as contract work for other brands."
"Fitted cases — wood, covered board, moulded",Morganti,Milano,MI,Verified,,Via Lanzone 1,bookbinding; hand bench; central MI,"Bindery and cartotecnica bench in the centre of Milan, on Via Lanzone. Boxes and cofanetti made by hand alongside the binding work."
"Fitted cases — wood, covered board, moulded",Il Borgo,Milano,MI,Verified,02 33100169,Via Canonica 25,small runs; cooperative,"Bindery and paper-goods cooperative. Takes special work in small and medium runs across various materials — menu covers, boxes, cofanetti."
"Dust bags, tissue, ribbon & shoppers",Ricamificio Marini 1986,Italy,IT,Verified,,,GOTS; recycled PET; embroidery; made in Italy,"Dust bags for footwear, bags and leather goods in certified fabrics: 100% cotton, organic cotton, recycled PET, polycotton, Alcantara, jute, linen, viscose, TNT, satin, felt, nylon, polypropylene and flocked. Embroidery in house. Solar-powered plant; handles runs into the millions. Confirm the address before quoting."
"Dust bags, tissue, ribbon & shoppers",ATA,Italy,IT,Verified,,,satin; hot stamp; embroidery,"Fabric bags made specifically for leather handbags and small leather goods. Cotton, polyester, satin, nylon, polypropylene, jute and flocked, personalised by screen print, transfer, hot stamping, embossing or embroidery."
"Dust bags, tissue, ribbon & shoppers",Eco Bags,Italy,IT,Register lead,,,TNT; SLG sizes,"TNT dust bags sized for wallets, pouches, clutches and belts — the small-leather-goods end of the range."
"Dust bags, tissue, ribbon & shoppers",Elvicart,San Giuliano Milanese,MI,Verified,02 98490841,Via Tolstoi 26/A,est. 1993; glossy shopper; TNT bags; rigid boxes,"Producing paper shoppers since 1993. Luxury and glossy paper bags for jewellers and gift retail, automatic paper shoppers, fabric and TNT bags, plus special boxes — one of the few here spanning paper and textile."
"Dust bags, tissue, ribbon & shoppers",Shopperland,Milano,MI,Verified,,,shopper; tissue; ribbon; tags,"Twenty years of personalised shoppers with logo, for perfumeries, jewellers, hotels and spas. Also tissue paper, ribbons and swing tags — a coordinated set from one desk."
"Dust bags, tissue, ribbon & shoppers",ChartaRè,Milano,MI,Verified,,,ultra-thin tissue; up to 4 colours; UV finish,"Coordinated packaging system: ultra-thin tissue printed with your logo, gift paper in your own pattern, shoppers, ribbons and boxes. Positions itself squarely at high fashion and jewellery."
"Dust bags, tissue, ribbon & shoppers",Mainetti Italia,Italy,IT,Register lead,,,fabric packaging; group scale,Fabric packaging division of the hanger group — dust bags and textile solutions at fashion-supply-chain scale.
Interiors & inserts,Elicam Packaging,Lombardy,IT,Register lead,,,thermoform; contract pack,Contract thermoforming and contract packing.
Interiors & inserts,Termoformatura LMP,Lombardy,IT,Register lead,,,thermoform; prototype,Contract thermoforming from prototype through to production run.
Interiors & inserts,GNC,Italy,IT,Register lead,,,box interiors; trays,"Thermoformed box interiors, blisters and custom trays."
Interiors & inserts,Euroform,Italy,IT,Register lead,,,flocked; velvet effect,Flocked box interiors and trays — the velvet-effect finish used inside jewellery and watch cases.
Interiors & inserts,Artplast,Italy,IT,Register lead,,,thermoform; blister,"Custom thermoformed packaging, blisters and trays."
General cartotecnica — rigid & wrapped boxes,Cartotecnica Garanzini,Magenta,MI,Register lead,,,est. 1927,"Rigid and wrapped boxes, folding cases, paper bags. Among the oldest cartotecniche in the province."
General cartotecnica — rigid & wrapped boxes,Felice Dania,Milano,MI,Register lead,,,est. 1939,"Folding cases, corrugated boxes, industrial packaging."
General cartotecnica — rigid & wrapped boxes,Gruppo CAM,Zibido San Giacomo,MI,Register lead,,,est. 1940,"Rigid boxes, paper bags, packaging accessories."
General cartotecnica — rigid & wrapped boxes,BOTTA EcoPackaging,Trezzano Rosa,MI,Register lead,,,est. 1947,"Folding cases, corrugated, paper bags."
General cartotecnica — rigid & wrapped boxes,Scatolificio DIGERPAK,Cernusco sul Naviglio,MI,Register lead,,,est. 1948,"Folding cases, corrugated, displays."
General cartotecnica — rigid & wrapped boxes,Moroni Scatole,Nerviano,MI,Register lead,,,est. 1951,Rigid boxes and folding cases.
General cartotecnica — rigid & wrapped boxes,Albertini Packaging Group,Robecco sul Naviglio,MI,Register lead,,,est. 1952,"Rigid and wrapped boxes, folding cases, self-adhesive labels."
General cartotecnica — rigid & wrapped boxes,Grafica Antonini,Lainate,MI,Register lead,,,est. 1960,"Folding cases, displays, colour samples."
General cartotecnica — rigid & wrapped boxes,Cartotecnica Milanese,Opera,MI,Register lead,,Via Adige 6,est. 1964,"Founded 1964 by Antonio Schirinzi. Board packaging for Milan, Lombardy and Piedmont."
General cartotecnica — rigid & wrapped boxes,Accoplast,Vittuone,MI,Register lead,,,est. 1968,"Folding cases, rigid and wrapped boxes, paper bags."
General cartotecnica — rigid & wrapped boxes,Scatolificio Alessio Urbano,Nerviano,MI,Register lead,,,est. 1972,"Rigid boxes, folding cases, corrugated."
General cartotecnica — rigid & wrapped boxes,Italbond,Cesano Boscone,MI,Register lead,,,est. 1975,"Folding cases, film, displays."
General cartotecnica — rigid & wrapped boxes,Scatolificio DA.RA.,Castano Primo,MI,Register lead,,,est. 1975,"Folding cases, corrugated, industrial packaging."
General cartotecnica — rigid & wrapped boxes,Rotoprint,Lainate,MI,Register lead,,,est. 1978,"Folding cases, film, self-adhesive labels."
General cartotecnica — rigid & wrapped boxes,Gruppo IG,Pessano con Bornago,MI,Register lead,,,est. 1979,"Folding cases, displays, samples."
General cartotecnica — rigid & wrapped boxes,Scatolificio Di Cesano,Settimo Milanese,MI,Register lead,,,est. 1980,"Folding cases, corrugated, displays."
General cartotecnica — rigid & wrapped boxes,Giemmeci,Rozzano,MI,Register lead,,,est. 1982,Folding cases and colour samples.
General cartotecnica — rigid & wrapped boxes,Cartograf GS,Binasco,MI,Register lead,,,est. 1988,"Folding cases, display stands, industrial packaging."
General cartotecnica — rigid & wrapped boxes,Gi.Bi.Effe,Milano,MI,Register lead,,,est. 1988,Folding cases and point-of-sale displays.
General cartotecnica — rigid & wrapped boxes,C.M. di Moscatiello,Trezzano sul Naviglio,MI,Register lead,,,est. 1988,"Folding cases, corrugated, paper bags."
General cartotecnica — rigid & wrapped boxes,Cart Service,Legnano,MI,Register lead,,,est. 1990,"Rigid and wrapped boxes, folding cases, corrugated."
General cartotecnica — rigid & wrapped boxes,Fimat,Boffalora sopra Ticino,MI,Register lead,,,est. 1990,"Rigid and wrapped boxes, folding cases, industrial protection."
General cartotecnica — rigid & wrapped boxes,DTD Packaging,Settimo Milanese,MI,Register lead,,,est. 2001,"Rigid and wrapped boxes, folding cases."
General cartotecnica — rigid & wrapped boxes,Cartotecnica Rada,Inzago,MI,Register lead,,,die-cut; gluing,"Folding cases, corrugated, display stands. Thirty years in die-cutting and gluing."
General cartotecnica — rigid & wrapped boxes,Cartotecnica S.A.F.A. Box,Melzo,MI,Register lead,,,displays,"Folding cases, corrugated, counter and floor displays."
General cartotecnica — rigid & wrapped boxes,Cartotecnica Frama,Sesto San Giovanni,MI,Register lead,,,,Folding cases and paper bags.
General cartotecnica — rigid & wrapped boxes,Cartotecnica Silfer,Trezzo sull'Adda,MI,Register lead,,,,Folding cases and corrugated.
General cartotecnica — rigid & wrapped boxes,Cartotecnica New Box System,Zibido San Giacomo,MI,Register lead,,,,"Folding cases, corrugated, paper bags."
General cartotecnica — rigid & wrapped boxes,La Cartomeccanica Imballaggi,Locate di Triulzi,MI,Register lead,,,,"Rigid and wrapped boxes, folding cases, paper bags."
General cartotecnica — rigid & wrapped boxes,Florio Carta,Settala,MI,Register lead,,,,"Rigid and wrapped boxes, paper shoppers and bags."
General cartotecnica — rigid & wrapped boxes,Expo Project,Milano,MI,Register lead,,,displays,"Rigid and wrapped boxes, folding cases, point-of-sale displays."
General cartotecnica — rigid & wrapped boxes,Scatolificio Doch,Cernusco sul Naviglio,MI,Register lead,,,,"Rigid boxes, corrugated, industrial packaging."
General cartotecnica — rigid & wrapped boxes,Addressotak,Milano,MI,Register lead,,,,"Rigid and wrapped boxes, folding cases, corrugated."
General cartotecnica — rigid & wrapped boxes,Carton Pack International,Lainate,MI,Register lead,,,,"Rigid and wrapped boxes, folding cases, corrugated."
General cartotecnica — rigid & wrapped boxes,Cartotecnica Licini,Merate,LC,Register lead,,,,"Rigid and wrapped boxes, folding cases, displays."
General cartotecnica — rigid & wrapped boxes,Cartotecnica Stucchi,Carnate,MB,Register lead,,,,"Rigid and wrapped boxes, paper shoppers and bags."
General cartotecnica — rigid & wrapped boxes,Arte Grafica Valsecchi,Malgrate,LC,Register lead,,,,"Rigid and wrapped boxes, folding cases."
General cartotecnica — rigid & wrapped boxes,Cartotecnica Sangiorgio,Albavilla,CO,Register lead,,,,"Rigid and wrapped boxes, folding cases, paper envelopes."
General cartotecnica — rigid & wrapped boxes,Cartotecnica L.P.E.,Cassano Magnago,VA,Register lead,,,,"Rigid and wrapped boxes, folding cases, corrugated."
General cartotecnica — rigid & wrapped boxes,Bookbinder's Board Manufacturing,Rho,MI,Register lead,,,substrate only,"Board for rigid boxes — the substrate under a covered case, not a finished box."
